city;lat;lon;available_permit
Barsbüttel;53.5667;10.1667;A38
Flintbek;54.2433;10.0633;A38
Husum;54.4667;9.0500;A38
Lauenburg;53.3833;10.5667;A38
Leer;53.2308;7.4528;A38
Loxstedt;53.4699;8.6479;A38
Neustadt in Holstein;54.1072;10.8158;A38
Parchim;53.4167;11.8333;A38
Scheeßel;53.1706;9.4831;A38
Schleswig;54.5181;9.5703;A38
Tornesch;53.7000;9.7167;A38
Wittstock;53.1636;12.4856;A38
Zetel;53.4197;7.9742;A38
Adendorf;53.2833;10.4500;NONE
Ahrensbök;54.0167;10.5833;NONE
Ahrensburg;53.6747;10.2411;NONE
Altenholz;54.4000;10.1333;NONE
Apen;53.2214;7.8097;NONE
Aurich;53.4714;7.4836;NONE
Bad Bramstedt;53.9186;9.8844;NONE
Bad Oldesloe;53.8117;10.3742;NONE
Bad Schwartau;53.9194;10.6975;NONE
Bad Segeberg;53.9167;10.3167;NONE
Bad Zwischenahn;53.1836;8.0097;NONE
Bargteheide;53.7167;10.2667;NONE
Barmstedt;53.7833;9.7667;NONE
Barßel;53.1703;7.7467;NONE
Beverstedt;53.4340;8.8183;NONE
Boizenburg;53.3667;10.7167;NONE
Boostedt;54.0089;10.0258;NONE
Bordesholm;54.1833;10.0167;NONE
Brake;53.3333;8.4833;NONE
Bredstedt;54.6200;8.9644;NONE
Bremen;53.0833;8.8000;NONE
Bremerhaven;53.5500;8.5833;NONE
Bremervörde;53.4833;9.1333;NONE
Brunsbüttel;53.8964;9.1386;NONE
Büchen;53.4833;10.6167;NONE
Buchholz in der Nordheide;53.3167;9.8667;NONE
Büdelsdorf;54.3167;9.6833;NONE
Buxtehude;53.4769;9.7011;NONE
Cuxhaven;53.8611;8.6944;NONE
Drochtersen;53.7000;9.3833;NONE
Eckernförde;54.4742;9.8378;NONE
Edewecht;53.1258;7.9825;NONE
Ellerau;53.7500;9.9167;NONE
Elmshorn;53.7519;9.6511;NONE
Emden;53.3669;7.2061;NONE
Eutin;54.1378;10.6181;NONE
Fehmarnsund;54.4454;11.1702;NONE
Flensburg;54.7819;9.4367;NONE
Fockbek;54.3050;9.6008;NONE
Friedeburg;53.4500;7.8333;NONE
Fürstenberg;53.1853;13.1456;NONE
Geesthacht;53.4375;10.3675;NONE
Gettorf;54.4078;9.9742;NONE
Glinde;53.5406;10.2111;NONE
Glücksburg;54.8336;9.5500;NONE
Glückstadt;53.7917;9.4219;NONE
Grevesmühlen;53.8667;11.1667;NONE
Grömitz;54.1536;10.9575;NONE
Großhansdorf;53.6667;10.2667;NONE
Hagen im Bremischen;53.3577;8.6456;NONE
Hagenow;53.4167;11.1833;NONE
Halstenbek;53.6334;9.8372;NONE
Hamburg;53.5500;10.0000;NONE
Handewitt;54.7667;9.3167;NONE
Harrislee;54.7972;9.3764;NONE
Harsefeld;53.4500;9.5000;NONE
Heide;54.1961;9.0933;NONE
Heikendorf;54.3722;10.2081;NONE
Heiligenhafen;54.3739;10.9797;NONE
Henstedt-Ulzburg;53.7833;10.0000;NONE
Hohenlockstedt;53.9667;9.6167;NONE
Hohenwestedt;54.0833;9.6667;NONE
Horst;53.8111;9.6183;NONE
Hude;53.1111;8.4625;NONE
Itzehoe;53.9250;9.5164;NONE
Jever;53.5744;7.9008;NONE
Jork;53.5344;9.6817;NONE
Kaltenkirchen;53.8397;9.9603;NONE
Kappeln;54.6614;9.9311;NONE
Karstädt;53.1605;11.7397;NONE
Kellinghusen;53.9500;9.7167;NONE
Kiel;54.3233;10.1394;NONE
Kronshagen;54.3333;10.0833;NONE
Kropp;54.4111;9.5087;NONE
Laboe;54.4089;10.2308;NONE
Langen;53.6116;8.6032;NONE
Leck;54.7744;8.9736;NONE
Lensahn;54.2333;10.8833;NONE
Lübeck;53.8697;10.6864;NONE
Ludwigslust;53.3244;11.4972;NONE
Lüneburg;53.2525;10.4144;NONE
Lütjenburg;54.2947;10.5914;NONE
Malente;54.1667;10.5500;NONE
Marne;53.9500;9.0000;NONE
Meldorf;54.0833;9.0667;NONE
Mittegroßefehn;53.3833;7.5833;NONE
Molfsee;54.2642;10.0656;NONE
Mölln;53.6269;10.6847;NONE
Neu Wulmstorf;53.4628;9.7956;NONE
Neubrandenburg;53.5569;13.2611;NONE
Neumünster;54.0714;9.9900;NONE
Neustrelitz;53.3647;13.0636;NONE
Niebüll;54.7881;8.8296;NONE
Norden;53.5967;7.2056;NONE
Nordenham;53.5000;8.4667;NONE
Norderstedt;53.7064;10.0103;NONE
Nortorf;54.1667;9.8667;NONE
Oldenburg;53.1439;8.2139;NONE
Oldenburg in Holstein;54.3000;10.8833;NONE
Osterholz-Scharmbeck;53.2167;8.8000;NONE
Osterrönfeld;54.2833;9.7000;NONE
Ostrhauderfehn;53.1167;7.6167;NONE
Oststeinbek;53.5442;10.1664;NONE
Ottersberg;53.1000;9.1500;NONE
Pasewalk;53.5000;14.0000;NONE
Pinneberg;53.6333;9.8000;NONE
Plön;54.1622;10.4214;NONE
Preetz;54.2367;10.2822;NONE
Prenzlau;53.3167;13.8667;NONE
Pritzwalk;53.1500;12.1833;NONE
Quickborn;53.7333;9.8972;NONE
Rastede;53.2500;8.2000;NONE
Ratekau;53.9500;10.7333;NONE
Ratzeburg;53.7000;10.7500;NONE
Reinbek;53.5089;10.2483;NONE
Reinfeld;53.8333;10.4833;NONE
Rellingen;53.6500;9.8167;NONE
Rendsburg;54.3000;9.6667;NONE
Rhaude;53.1667;7.5500;NONE
Rheinsberg;53.0983;12.8958;NONE
Ritterhude;53.1861;8.7580;NONE
Scharbeutz;54.0214;10.7456;NONE
Schenefeld;53.6028;9.8233;NONE
Schiffdorf;53.5355;8.6622;NONE
Schneverdingen;53.1167;9.8000;NONE
Schönberg in Holstein;54.3956;10.3719;NONE
Schönkirchen;54.3417;10.2242;NONE
Schortens;53.5333;7.9500;NONE
Schwanewede;53.2333;8.6000;NONE
Schwarzenbek;53.5042;10.4792;NONE
Schwerin;53.6333;11.4167;NONE
Seevetal;53.3833;10.0333;NONE
Stade;53.6008;9.4764;NONE
Stelle;53.3667;10.1167;NONE
Stockelsdorf;53.8833;10.6500;NONE
