city_1;city_2;distance;required_permit
Aachen;Alsdorf;14;K62
Aachen;Baesweiler;16;NONE
Aachen;Düren;34;K62
Aachen;Eschweiler;17;K62
Aachen;Geilenkirchen;24;K62
Aachen;Heinsberg;36;NONE
Aachen;Herzogenrath;12;NONE
Aachen;Hückelhoven;37;K62
Aachen;Jülich;30;K62
Aachen;Stolberg;13;K62
Aachen;Würselen;6;NONE
Aalen;Crailsheim;40;NONE
Aalen;Eislingen;43;NONE
Aalen;Geislingen an der Steige;38;NONE
Aalen;Giengen an der Brenz;35;X09
Aalen;Heidenheim;23;X09
Aalen;Nördlingen;33;NONE
Aalen;Schwäbisch Gmünd;25;X09
Achern;Baden-Baden;22;K62
Achern;Bühl;10;K62
Achern;Freudenstadt;44;NONE
Achern;Gaggenau;34;K62
Achern;Kehl;29;K62
Achern;Oberkirch;14;K62
Achern;Offenburg;28;K62
Achern;Rastatt;33;K62
Achim;Bassum;41;F23
Achim;Bremen;18;F23
Achim;Delmenhorst;33;NONE
Achim;Ganderkesee;38;NONE
Achim;Kirchlinteln;29;F23
Achim;Langwedel;16;F23
Achim;Osterholz-Scharmbeck;35;F23
Achim;Ottersberg;11;NONE
Achim;Oyten;1;F23
Achim;Ritterhude;29;NONE
Achim;Scheeßel;37;NONE
Achim;Schwanewede;40;NONE
Achim;Stuhr;24;NONE
Achim;Syke;31;F23
Achim;Weyhe;19;F23
Achim;Zeven;39;F23
Adendorf;Boizenburg;29;A38
Adendorf;Büchen;33;NONE
Adendorf;Geesthacht;28;NONE
Adendorf;Glinde;44;A38
Adendorf;Lauenburg;19;NONE
Adendorf;Lüneburg;5;A38
Adendorf;Oststeinbek;45;A38
Adendorf;Reinbek;39;A38
Adendorf;Schwarzenbek;40;NONE
Adendorf;Seevetal;34;A38
Adendorf;Stelle;27;A38
Adendorf;Wentorf bei Hamburg;38;NONE
Adendorf;Winsen;22;NONE
Aerzen;Bad Münder am Deister;26;F23
Aerzen;Bad Nenndorf;44;F23
Aerzen;Bad Pyrmont;13;F23
Aerzen;Barsinghausen;49;F23
Aerzen;Bückeburg;36;NONE
Aerzen;Detmold;32;F23
Aerzen;Hameln;10;NONE
Aerzen;Hessisch Oldendorf;17;F23
Aerzen;Holzminden;42;F23
Aerzen;Höxter;43;F23
Aerzen;Lage;36;F23
Aerzen;Lemgo;26;F23
Aerzen;Porta Westfalica;41;F23
Aerzen;Rinteln;27;F23
Aerzen;Springe;30;F23
Aerzen;Stadthagen;45;NONE
Aerzen;Wennigsen;44;NONE
Ahaus;Bad Bentheim;31;NONE
Ahaus;Borken;31;NONE
Ahaus;Coesfeld;19;F23
Ahaus;Dülmen;36;F23
Ahaus;Gronau;20;F23
Ahaus;Schüttorf;34;F23
Ahaus;Steinfurt;28;F23
Ahlen;Beckum;12;NONE
Ahlen;Bergkamen;31;NONE
Ahlen;Hamm;12;F23
Ahlen;Harsewinkel;40;NONE
Ahlen;Kamen;28;NONE
Ahlen;Lippstadt;38;NONE
Ahlen;Lünen;35;NONE
Ahlen;Münster;34;F23
Ahlen;Oelde;24;NONE
Ahlen;Rheda-Wiedenbrück;34;NONE
Ahlen;Selm;35;F23
Ahlen;Soest;31;F23
Ahlen;Unna;33;NONE
Ahlen;Warendorf;25;F23
Ahlen;Werl;30;F23
Ahlen;Werne an der Lippe;25;F23
Ahrensburg;Bad Oldesloe;20;NONE
Ahrensburg;Bad Segeberg;33;A38
Ahrensburg;Bargteheide;6;A38
Ahrensburg;Barmstedt;43;A38
Ahrensburg;Barsbüttel;17;A38
Ahrensburg;Büchen;40;NONE
Ahrensburg;Ellerau;29;A38
Ahrensburg;Geesthacht;37;A38
Ahrensburg;Glinde;20;NONE
Ahrensburg;Großhansdorf;4;NONE
Ahrensburg;Halstenbek;32;A38
Ahrensburg;Hamburg;22;A38
Ahrensburg;Henstedt-Ulzburg;27;A38
Ahrensburg;Kaltenkirchen;32;NONE
Ahrensburg;Mölln;39;NONE
Ahrensburg;Norderstedt;20;A38
Ahrensburg;Oststeinbek;21;NONE
Ahrensburg;Pinneberg;36;NONE
Ahrensburg;Quickborn;29;NONE
Ahrensburg;Ratzeburg;42;A38
Ahrensburg;Reinbek;23;NONE
Ahrensburg;Reinfeld;29;A38
Ahrensburg;Rellingen;34;A38
Ahrensburg;Schenefeld;34;A38
Ahrensburg;Schwarzenbek;31;NONE
Ahrensburg;Tangstedt;16;A38
Ahrensburg;Tornesch;45;A38
Ahrensburg;Trittau;16;A38
Ahrensburg;Wahlstedt;39;A38
Ahrensburg;Wentorf bei Hamburg;25;A38
Ahrensburg;Winsen;59;NONE
Ahrensbök;Bad Oldesloe;33;A38
Ahrensbök;Bad Schwartau;16;A38
Ahrensbök;Bad Segeberg;25;A38
Ahrensbök;Eutin;16;NONE
Ahrensbök;Grömitz;35;A38
Ahrensbök;Lensahn;39;A38
Ahrensbök;Lübeck;20;A38
Ahrensbök;Lütjenburg;41;A38
Ahrensbök;Malente;22;A38
Ahrensbök;Neustadt in Holstein;21;NONE
Ahrensbök;Plön;22;A38
Ahrensbök;Preetz;36;NONE
Ahrensbök;Ratekau;16;NONE
Ahrensbök;Reinfeld;25;A38
Ahrensbök;Scharbeutz;13;A38
Ahrensbök;Stockelsdorf;17;NONE
Ahrensbök;Süsel;12;A38
Ahrensbök;Timmendorfer Strand;17;NONE
Ahrensbök;Trappenkamp;31;NONE
Ahrensbök;Wahlstedt;29;A38
Ahrensfelde;Altlandsberg;11;NONE
Ahrensfelde;Basdorf;20;F24
Ahrensfelde;Berlin;14;F24
Ahrensfelde;Biesenthal;25;F24
Ahrensfelde;Birkenwerder;32;NONE
Ahrensfelde;Blankenfelde;35;NONE
Ahrensfelde;Eberswalde;40;NONE
Ahrensfelde;Eichwalde;28;F24
Ahrensfelde;Erkner;31;NONE
Ahrensfelde;Falkensee;36;NONE
Ahrensfelde;Großbeeren;35;NONE
Ahrensfelde;Grünheide;31;NONE
Ahrensfelde;Hennigsdorf;41;F24
Ahrensfelde;Hohen Neuendorf;34;NONE
Ahrensfelde;Hoppegarten;12;NONE
Ahrensfelde;Königs Wusterhausen;37;F24
Ahrensfelde;Leegebruch;42;F24
Ahrensfelde;Mittenwalde;39;NONE
Ahrensfelde;Oranienburg;37;F24
Ahrensfelde;Rangsdorf;43;NONE
Ahrensfelde;Rehfelde;27;NONE
Ahrensfelde;Schildow;19;F24
Ahrensfelde;Schulzendorf;30;NONE
Ahrensfelde;Schönefeld;24;F24
Ahrensfelde;Stahnsdorf;36;F24
Ahrensfelde;Strausberg;24;F24
Ahrensfelde;Teltow;31;NONE
Ahrensfelde;Velten;38;F24
Ahrensfelde;Wandlitz;28;F24
Ahrensfelde;Werneuchen;13;NONE
Ahrensfelde;Wildau;34;F24
Ahrensfelde;Woltersdorf;25;NONE
Ahrensfelde;Zeuthen;29;NONE
Aichach;Augsburg;24;X09
Aichach;Bobingen;40;NONE
Aichach;Dachau;33;NONE
Aichach;Friedberg;18;NONE
